Source,Target,Timestamp
5677,14865,15
5677,25436,15
5677,30687,15
5677,47427,15
5677,57325,15
5677,62715,15
5677,68398,15
5677,74560,15
5677,76943,15
5677,98456,15
5677,100706,15
5683,44061,113
5683,110074,19
5697,86549,116
5700,24785,15
5701,16664,17
5709,67417,19
5709,105690,113
5712,3613,15
5712,21518,15
5731,61303,15
5734,2110,15
5734,4248,15
5734,6722,15
5734,8255,15
5734,8508,15
5737,9260,15
5737,35011,15
5751,14757,15
5751,57426,15
5758,14491,15
5758,17413,15
5758,20040,15
5758,25383,15
5758,86859,15
5775,11694,15
5789,1056,123
5792,6073,15
5792,40057,113
5792,44390,15
5792,47698,15
5792,60962,15
5792,61883,15
5792,68023,15
5792,95726,15
5792,97231,15
5800,8963,17
5819,2246,15
5821,37636,113
5829,98685,15
5833,100428,116
5840,110769,113
5841,2121,15
5841,9619,15
5841,25428,15
5841,25721,15
5841,33409,15
5841,38625,15
5841,79343,15
5841,83711,15
5849,109997,113
5852,79408,113
5860,14663,19
5880,103841,17
5897,3201,120
5898,111496,120
5899,107066,15
5900,21185,15
5900,34516,15
5900,65211,15
5922,97793,113
5928,61556,15
5942,14409,15
5942,20176,15
5942,21951,15
5942,71290,15
5942,81840,15
5942,95308,15
5945,6204,15
5945,21748,15
5947,91979,15
5956,11516,120
5956,50401,120
5956,81829,120
5961,14529,113
5967,1883,15
5972,52739,123
5982,97905,120
5993,1527,15
5993,5374,15
5993,40446,15
5993,59044,15
5993,91446,15
5993,102085,15
5993,109564,15
6000,10703,120
6000,31116,17
6001,81003,19
6003,3579,15
6003,23812,15
6005,97245,123
6006,14757,17
6006,15233,17
6006,54704,17
6006,61316,17
6006,68215,17
6011,86142,17
6026,8194,15
6026,49430,15
6026,78508,15
6034,35437,15
6040,111056,15
6052,44050,123
6052,50351,19
6052,60893,17
6052,91115,15
6069,18467,113
6074,106382,19
6080,2335,15
6080,51062,15
6080,78160,15
6080,90650,15
6080,110292,15
6082,98095,113
6082,103989,113
6096,10289,15
6106,111296,15
6115,82312,15
6129,22104,123
6129,54758,113
6132,3481,19
6142,108690,123
6146,23871,116
6150,298,17
6150,42815,123
6152,17136,113
6161,97436,113
6162,67148,116
6162,108461,123
6178,60908,19
6178,85993,17
6213,52223,120
6218,88241,120
6236,16727,120
6244,639,15
6244,1739,15
6244,9507,15
6244,9912,15
6244,16232,15
6244,73321,15
6253,6297,15
6264,1132,15
6264,6069,15
6264,7180,15
6264,8100,15
6264,13202,15
6264,16263,15
6264,16687,15
6264,20388,15
6264,23306,15
6264,31692,15
6264,64739,15
6280,102429,120
6291,3648,15
6291,9225,15
6291,55126,15
6292,29008,116
6305,23931,113
6310,87243,17
6310,101813,120
6316,86958,113
6325,104195,15
6334,95903,17
6338,111316,123
6360,21325,113
6369,15153,15
6369,35104,15
6369,41330,15
6369,53022,15
6370,16045,17
6372,29552,120
6375,63221,19
6378,16167,15
6384,106224,15
6385,6892,15
6385,45322,15
6385,56440,15
6385,70752,15
6401,1505,15
6401,14448,15
6401,15027,15
6401,17056,15
6401,26615,15
6401,31973,15
6401,34613,15
6401,36980,15
6401,47170,15
6403,16167,15
6453,105823,15
6461,28009,113
6489,38104,113
6499,20552,19
6499,34180,116
6499,59542,123
6499,79264,17
6516,11353,113
6521,66074,113
6524,19031,17
6524,21090,17
6524,64740,17
6534,9424,15
6534,59078,15
6534,83815,15
6551,110794,120
6562,48935,123
6578,11839,15
6578,16411,15
6582,13971,116
6591,100918,116
6635,2186,15
6635,4926,15
6635,5714,15
6635,11814,15
6635,23871,113
6643,23401,113
6646,95,15
6646,14285,15
6646,18862,15
6646,94563,15
6649,8256,15
6649,18105,15
6649,59460,15
6649,69675,15
6649,70858,15
6649,71165,15
6653,4241,19
6660,10498,113
6679,9177,17
6684,14704,116
6684,47467,120
6708,30727,113
6711,100918,113
6727,11822,15
6727,89628,15
6727,93609,15
6729,2259,120
6729,2320,17
6747,5305,15
6747,10958,15
6747,12721,15
6747,34962,15
6747,62650,15
6751,11556,15
6752,59542,17
6764,111316,123
6765,2195,17
6770,633,15
6770,1447,15
6770,2952,15
6770,5974,15
6770,6793,15
6770,8083,15
6770,21497,15
6770,22272,15
6770,25347,15
6770,77549,15
6770,97713,15
6779,6882,120
6779,41267,120
6792,48784,116
6799,3481,19
6800,48260,113
6809,25119,15
6809,108488,15
6836,4539,113
6847,27347,15
6851,45743,120
6870,1120,15
6870,2192,15
6870,3939,15
6870,5216,15
6870,5754,15
6870,6280,15
6870,7042,15
6870,15260,15
6870,15279,15
6870,16473,15
6870,25525,15
6870,44885,15
6901,110000,113
6910,27023,113
6916,104963,116
6918,7497,120
6922,111815,113
6933,51544,120
6935,9052,113
6937,75408,120
6942,68858,120
6954,3162,15
6954,5336,15
6954,9286,15
6954,9351,15
6954,9915,15
6954,12113,15
6954,15025,15
6955,39480,19
6961,17179,113
6965,10938,17
6965,27095,113
6969,13296,116
6991,37756,123
6992,64258,17
6996,19284,19
7002,5225,120
7013,1523,15
7013,20986,15
7013,42978,17
7013,44050,15
7013,45326,15
7013,52302,15
7013,57015,15
7013,67006,15
7013,96717,15
7013,104514,15
7023,12170,113
7024,30483,15
7026,6225,15
7047,10950,19
7047,28436,19
7048,7045,116
7048,62133,19
7050,2295,120
7065,109878,15
7069,97466,113
7076,73004,120
7091,40996,15
7102,9110,15
7102,35647,15
7102,65724,15
7113,104963,116
7117,3869,116
7124,34102,113
7124,41582,17
7127,5000,19
7130,6294,113
7132,18671,19
7139,77407,113
7139,85453,120
7153,96188,19
7171,3147,15
7171,10304,15
7171,59596,15
7171,71282,15
7174,95874,15
7185,5948,15
7185,6772,15
7185,7237,15
7185,7769,15
7185,8755,15
7185,9515,15
7185,10138,15
7185,12366,15
7185,14339,15
7185,21012,15
7208,85402,15
7209,87359,120
7217,857,15
7217,35138,15
7217,91763,116
7218,5455,113
7235,110942,17
7239,68482,15
7240,17850,15
7246,1452,120
7254,12155,15
7254,32688,15
7258,14849,15
7259,28685,123
7263,48223,120
7288,10755,113
7291,13772,15
7291,39933,113
7302,62557,15
7310,95379,113
7327,43980,116
7329,29542,15
7329,41216,17
7340,10289,17
7340,109829,120
7347,22091,15
7370,1948,120
7379,33363,17
7390,3857,15
7390,4479,15
7401,12061,15
7407,73260,19
