,Source,Target
16778,4256,62175
16840,4279,45743
16852,4284,3123
16897,4293,26244
16898,4293,38956
16899,4293,43687
16900,4293,64553
16901,4293,74806
16902,4293,76642
16903,4293,90519
16933,4302,27879
16937,4302,60771
17012,4316,1256
17013,4316,1840
17014,4316,2202
17015,4316,7011
17016,4316,15599
17017,4316,37121
17018,4316,37991
17019,4316,55400
17020,4316,88042
17026,4317,17109
17048,4326,112379
17055,4328,10090
17090,4333,53021
17166,4357,32591
17206,4360,108690
17240,4369,6964
17241,4369,22710
17242,4369,24526
17243,4369,27148
17263,4376,88136
17283,4386,37636
17362,4399,110235
17367,4400,4186
17429,4413,110074
17441,4422,72492
17445,4424,5021
17446,4424,8011
17447,4424,14893
17448,4424,50692
17497,4436,60717
17515,4436,104863
17543,4445,8602
17613,4469,84793
17633,4471,103989
17634,4472,9638
17635,4472,18492
17636,4472,29461
17637,4472,44885
17726,4497,17070
17771,4506,110548
17801,4515,33462
17883,4532,1495
17890,4537,5173
17891,4537,10703
17892,4537,12047
17893,4537,13886
17894,4537,18234
17895,4537,24861
17896,4537,30869
17897,4537,50091
17898,4537,105884
17925,4547,8661
17937,4548,4444
17946,4548,11696
17966,4548,105848
17990,4557,45450
18048,4576,64107
18058,4581,51741
18119,4586,3733
18120,4586,17893
18121,4586,21679
18122,4586,28749
18123,4586,37725
18124,4586,40314
18125,4586,42776
18126,4586,44968
18127,4586,45766
18128,4586,50527
18129,4586,52106
18130,4586,55885
18131,4586,55917
18132,4586,61030
18133,4586,77174
18134,4586,81988
18213,4602,2488
18214,4602,4528
18215,4602,4798
18216,4602,6236
18217,4602,6899
18218,4602,8620
18219,4602,10301
18220,4602,11208
18221,4602,11536
18222,4602,11687
18223,4602,15017
18224,4602,15115
18225,4602,16077
18226,4602,16141
18227,4602,16727
18228,4602,30689
18229,4602,38497
18230,4602,56792
18231,4602,61490
18232,4602,62201
18285,4615,52223
18289,4616,40870
18454,4652,39568
18467,4652,100918
18478,4657,45743
18535,4669,6537
18552,4676,30869
18571,4684,424
18572,4684,6727
18573,4684,17831
18574,4684,26938
18575,4684,43122
18669,4707,78743
18670,4707,90647
18754,4739,13649
18755,4739,67130
18756,4740,4741
18757,4740,5024
18758,4740,82119
18815,4749,9252
18851,4759,107030
18859,4760,108779
18880,4766,109622
18886,4770,27729
18891,4771,16828
18933,4782,243
18934,4782,3461
18935,4782,4481
18936,4782,6545
18950,4789,3783
19010,4798,12170
19092,4817,34088
19142,4833,3008
19143,4833,6429
19144,4833,8638
19145,4833,15530
19146,4833,28701
19147,4833,72488
19200,4850,60584
19240,4865,87411
19259,4874,22889
19277,4877,43290
19311,4881,7245
19313,4883,10560
19386,4894,5596
19387,4894,57654
19388,4894,100181
19396,4897,86247
19419,4903,12087
19428,4905,549
19468,4919,40236
19487,4925,55564
19535,4942,102817
19549,4946,3212
19550,4946,9076
19582,4955,79438
19602,4960,3681
19607,4960,34644
19629,4964,3221
19630,4964,11561
19631,4964,14697
19632,4964,19139
19633,4964,27619
19634,4964,28267
19635,4964,49479
19636,4964,58693
19637,4964,92224
19658,4972,9175
19680,4979,100139
19691,4983,93604
19695,4985,30869
19738,4997,48102
19842,5022,9952
19843,5022,90623
19844,5022,97630
19845,5022,110845
19898,5044,2898
19899,5044,9011
19900,5044,12928
19901,5044,20994
19902,5044,27131
19903,5044,89074
19964,5052,103181
20025,5063,22765
20026,5063,50567
20027,5063,63835
20028,5063,64738
20071,5076,6905
20098,5078,21386
20100,5078,55862
20103,5079,1930
20104,5079,6391
20105,5079,37242
20112,5082,59379
20148,5091,19266
20206,5106,22635
20222,5110,77466
20235,5115,2617
20236,5115,5535
20237,5115,6280
20238,5115,13425
20239,5115,75899
20240,5115,79412
20241,5115,80203
20251,5117,15540
20259,5117,98966
20281,5118,52799
20308,5123,2121
20384,5139,41693
20398,5141,1436
20399,5141,20968
20400,5141,40980
20401,5141,59851
20402,5141,75560
20403,5141,106634
20404,5141,110965
20434,5152,7346
20435,5152,12380
20436,5152,43942
20437,5152,62553
20471,5160,3892
20472,5160,10339
20473,5160,16144
20474,5160,16493
20515,5178,94526
20520,5179,17778
20544,5184,27937
20587,5200,5363
20591,5204,2295
20592,5204,6064
20593,5204,8165
20594,5204,9697
20595,5204,12640
20596,5204,13203
20597,5204,13847
20598,5204,16536
20603,5207,12592
20646,5216,71002
20777,5253,7864
20806,5268,14809
20811,5268,38958
20850,5280,15912
20854,5281,6534
20893,5290,3561
20943,5305,2494
20944,5305,3541
20945,5305,4083
20946,5305,4593
20947,5305,5091
20948,5305,5744
20949,5305,6280
20950,5305,6747
20951,5305,7963
20952,5305,8849
20953,5305,9638
20954,5305,9946
20955,5305,10958
20956,5305,12721
20957,5305,14360
20958,5305,16042
20959,5305,18197
20960,5305,30033
20961,5305,34962
20962,5305,44885
20963,5305,62650
20964,5305,75375
20965,5306,8378
20970,5306,17101
20989,5309,5205
21000,5310,109455
21007,5312,89231
21023,5317,108690
21062,5334,44960
21063,5334,46705
21109,5341,44731
21181,5370,66040
